L,Date MO/DAY/YR,To,From,Sent To ,Sent From,Status,Notes,Spanish YES/NO,SCAN ID,Scans uploaded,Back up? Where?,Metadata collected,Metadata filename,Metadata uploaded,Metadata Revised,Total: ,letter ,Envelope,Env. and Letter,Jesusita
18,8/20/1937,Jesusita Baros,V??,Denver CO,Albuquerque NM,"Transcribed, no translation",Only Envelope,NO,"shan_l.070
to
shan_l.071",Box,,Yes,shan_L018.meta.xml,Google Drive,Yes,,,,,
19,7/31/1937,Jesusita Baros,Felipita N Baca,Denver CO,Albuquerque NM,Transcribed & translated,Env. and LetterTranslated by Kate  3/14 Revised by IV 5/14; envelope and 2 page letter PDF in 4 pages envelope dated 8/2/1937,YES,"shan_l.076
to
shan_l.081",Box,,Yes,shan_L019.meta.xml,Google Drive,Yes,,,,,
20,9/18/19??,Jesusita Baros,Guadalupe Flemate,Fort Lupton CO,Juchipila ZAC,Transcribed & translated,letter Translated by Kate  3/14 Revised by IV 5/14. ,YES,"shan_l.760
shan_l.466
to
shan_l.467",Box,,Yes,shan_L020.meta.xml,Google Drive,Yes,,,,,
21,10/15/1938,Jesusita Baros,Demetrio Flemate,"Longmont, CO",Juchipila ZAC,Transcribed & translated,"letter Transcribed and translated by IV, 5/14. C/OBill Kennedy",YES,"shan_l.088
to
shan_l.093",Box,,Yes,shan_L021.meta.xml,Google Drive,Yes,,,,,
22,12/20/1940,Jesusita Baros,Guadalupe Flemate,Fort Lupton CO,Juchipila ZAC,Transcribed & translated,"ASSIGNED TO KATE ON 2/14/14 Transcribed and translated by IV, 5/14. Calls her Eliboria Flemate in letter",YES,"shan_l.144
to
shan_l.149",Box,,Yes,shan_L022.meta.xml,Google Drive,Yes,,,,,
23,1/17/1940,Jesusita Varos,Jesus Zamaniego,Fort Lupton CO,Mexicali BC,Transcribed & translated,"letter Transcribed and translated by IV, 5/14",YES,"shan_l.154
to
shan_l.157",Box,,Yes,shan_L023.meta.xml,Google Drive,Yes,,,,,
24,11/22/1939,María Jesús Barrios,Guadalupe Flemate,Fort Lupton CO,Juchipila ZAC,Transcribed & translated,"letter Transcribed and translated by IV, 5/14",YES,"shan_l.134
to
shan_l.137",Box,,Yes,shan_L024.meta.xml,Google Drive,Yes,,,,,
25,2/22/1953,Jesusita Baros,Nemecio Samaniego,Fort Lupton CO,Juchipila ZAC,Transcribed & translated,"letter Transcribed and translated by IV, 5/14.        c/o Mauro Quezada",YES,"shan_l.168
to
shan_l.171",Box,,Yes,shan_L025.meta.xml,Google Drive,Yes,,,,,
26,12/6/1958,Jesusita Varos,Demetrio Flemate,Fort Lupton CO,Juchipila ZAC,Transcribed & translated,"letter Transcribed and translated by IV, 5/14",YES,"shan_l.176
to
shan_l.179",Box,,Yes,shan_L026.meta.xml,Google Drive,Yes,,,,,
27,11/8/1942,Santos Baros,José Lara M.,Fort Lupton CO,Juchipila ZAC,Transcribed & translated,"letter Transcribed and translated by IV, 5/14",YES,shan_l.760,Box,,Yes,shan_L027.meta.xml,Google Drive,Yes,,,,,
28,10/5/1967,Jesusita Torrez,Margarita Flemate,Fort Lupton CO,Juchipila ZAC,Transcribed & translated," letter Transcribed and translated by IV, 5/14",YES,"shan_l.182
to
shan_l.185",Box,,Yes,shan_L028.meta.xml,Google Drive,Yes,,,,,
29,7/23/1969,Jesusita Baros Torres,Patricia Medrano,Fort Lupton CO,Juchipila ZAC,Transcribed & translated,"letterTranscribed and translated by IV, 5/14",YES,"shan_l.190
to
shan_l.193",Box,,Yes,shan_L029.meta.xml,Google Drive,Yes,,,,,
30,7/10/1964,Santos Baros Schubert,Jesusita Torres,Lincoln NE?,Fort Lupton CO,Transcribed & translated,letter [L30] & [L31] are on the same PDF,YES,"shan_l.096
to
shan_l.099",Box,,Yes,shan_L030.meta.xml,Google Drive,Yes,,,,,
31,2/16/1965,Mrs. W.F. Schubert,Jesusita Torres,Lincoln NE,Juchipila ZAC,Transcribed & translated,letter Transcribed & translated by I.V. on 7/9/14,YES,shan_l.094 to shan_l.095,Box,,Yes,shan_L031.meta.xml,Google Drive,Yes,,,,,
31,2/16/1965,Mrs. W.F. Schubert,Jesusita Torres,Lincoln NE,Juchipila ZAC,Transcribed & translated,letter Transcribed & translated by I.V. on 7/9/14,YES,shan_l.100 to shan_l.101,Box,,Yes,shan_L031.meta.xml,Google Drive,Yes,,,,,
32,1/21/1939,Jesusita Baros,Mrs. Felipita N. Baca,Longmont CO,Albuquerque NM,Transcribed & translated,letter Transcribed & translated by I.V. on 7/10/14 Revised by KMendell. ,YES,"shan_l.102
to
shan_l.105",Box,,Yes,shan_L032.meta.xml,Google Drive,Yes,,,,,
33,3/17/1939,Jesusita Barros,Mrs. Baca,Longmont CO,Albuquerque NM,Transcribed & translated,letter Transcribed & translated by I.V. on 7/28/14. Revised by KMendell. ,YES,"shan_l.112
to
shan_l.115",Box,,Yes,shan_L033.meta.xml,Google Drive,Yes,,,,,
34,2/23/1939,Jesusita Barros,Mrs. Edward Baca,Longmont CO,Albuquerque NM,Transcribed & translated,letter Transcribed & translated by I.V. on 7/28/14. Revised by KMendell. ,YES,"shan_l.108
to
shan_l.111",Box,,Yes,shan_L034.meta.xml,Google Drive,Yes,,,,,
35,3/25/1939,Maximino Torres,Clemente Torres,Longmont CO,Churintzio MICH,Transcribed & translated,letter Transcribed & translated by I.V. on 7/28/14. Revised by KMendell. ,YES,"shan_l.116
to
shan_l.119",Box,,Yes,shan_L035.meta.xml,Google Drive,Yes,,,,,
36,6/19/1939,Clemente Torres,Max Torres,Churintzio MICH,Longmont CO,Transcribed & translated,letter Transcribed and translated by KM on 6/13/14,YES,"shan_l.031
to
shan_l.036",Box,,Yes,shan_L036.meta.xml,Google Drive,Yes,,,,,
37,1/28/1939,Maximino Torres,C. Arroyo,Longmont CO,Churintzio MICH,Transcribed & translated,letter Transcribed and translated by KM on 6/15. Edited by IV & returned to KM on 6/16 for final version. ,YES,"shan_l.037
to
shan_l.040",Box,,Yes,shan_L037.meta.xml,Google Drive,Yes,,,,,
38,6/20/1939,Santos Baros,R.T.M. Moreno,Longmont CO,Denver CO,Transcribed & translated,letter Transcribed and translated by KM on 6/13/14,YES,"shan_l.041
to
shan_l.044",Box,,Yes,shan_L038.meta.xml,Google Drive,Yes,,,,,
39,9/10/1939,Maxsimino Torres,R. Hurtado,Longmont CO,Chicago IL,Transcribed & translated,letter Transcribed and translated by KM on 6/13/14,YES,"shan_l.126
to
shan_l.129",Box,,Yes,shan_L039.meta.xml,Google Drive,Yes,,,,,
40,4/7/1939,Maximino Torres,Clemente Torres,Longmont CO,Churintzio MICH,Transcribed & translated,letter ,YES,"shan_l.138
to
shan_l.143",Box,,Yes,shan_L040.meta.xml,Google Drive,Yes,,,,,
41,1/6/1942,Santos Barros,Teresita Autobus?,Fort Lupton CO,Erie CO,Transcribed & translated,letter,NO,"shan_l.762 to 
shan_l.764",Box,,Yes,shan_L041.meta.xml,Google Drive,Yes,,,,,
42,8/30/1943,Maximino Torres,Clemente Torres,Denver CO,Churintzio MICH,Transcribed & translated,letter,YES,"shan_l.765 to 
shan_l.767",Box,,Yes,shan_L042.meta.xml,Google Drive,Yes,,,,,
43,5/5/1944,Maximino Torres,Clemente Torres,Denver CO,Churintzio MICH,Transcribed & translated,letter,YES,"shan_l.164
to
shan_l.167",Box,,Yes,shan_L043.meta.xml,Google Drive,Yes,,,,,
44,2/24/1960,Jesusita Baros,Santos B Schubert,Fort Lupton CO?,Lincoln NE ?,Transcribed & translated,letter,YES,"shan_l.180
to
shan_l.181",Box,,Yes,shan_L044.meta.xml,Google Drive,Yes,,,,,
45,2/20/1969,Jesusita B Torres,Nemesio Samaniego,Fort Lupton CO,Juchipila ZAC,Transcribed & translated,letter,YES,"shan_l.186
to
shan_l.189",Box,,Yes,shan_L045.meta.xml,Google Drive,Yes,,,,,
46,4/8/1970,Jesusita Baros Torrez,Demetrio Flemate,Fort Lupton CO,Los Angeles CA,Transcribed & translated,letter,YES,"shan_l.194
to
shan_l.201",Box,,Yes,shan_L046.meta.xml,Google Drive,Yes,,,,,
47,10/18/1975,Jesusita Torrez,Demetrio Flemate,Fort Lupton CO,Los Angeles CA,Transcribed & translated,letter,YES,"shan_l.202
to
shan_l.205",Box,,Yes,shan_L047.meta.xml,Google Drive,Yes,,,,,
48,6/8/1977,Jesus Samaniego,Maximino Torres,Mexicali BC,Fort Lupton CO,Transcribed & translated,letter,YES,"shan_l.206
to
shan_l.211",Box,,Yes,shan_L048.meta.xml,Google Drive,Yes,,,,,
49,6/20/1952,Jesusita Baros,Nemecio Samaniego,Fort Lupton CO,Juchipila ZAC,Transcribed & translated,letter,YES,"shan_l.150
to
shan_l.151",Box,,Yes,shan_L049.meta.xml,Google Drive,Yes,,,,,
50,7/26/1957,Sandra B Schubert,Guadalupe Flemate Medrano,Lincoln NE,Juchipila ZAC,Transcribed & translated,letter,YES,"shan_l.244
to
shan_l.247",Box,,Yes,shan_L050.meta.xml,Google Drive,Yes,,,,,
51,2/4/1939,Jesusita Baros,Faustin Villanueva?,Longmont CO,Albuquerque NM,Transcribed and ready.,Envelope only.,NO,"shan_l.106
to
shan_l.107",Box,,Yes,shan_L051.meta.xml,Google Drive,Yes,,,,,
52,N/D,Jesusita Baros?,???,???,???,Transcribed and ready.,"Note ""Mira ací es como y quiero la...""",YES,"shan_l.025
to
shan_l.026",Box,,Yes,shan_L052.meta.xml,Google Drive,Yes,,,,,
53,?/27/1923,Reynaldo ??,Maximino Torres,"Ecuandureo, MICH","Rock Springs, WY",Transcribed and ready.,Only Envelope,YES,"shan_l.007
to
shan_l.008",Box,,Yes,shan_L053.meta.xml,Google Drive,Yes,,,,,
54,10/28/1952,Maximino Torres,Victoria Aviña,Fort Lupton CO,Churintzio MICH,Transcribed and ready.,Only Envelope,NO,"shan_l.021
to
shan_l.022",Box,,Yes,shan_L054.meta.xml,Google Drive,Yes,,,,,
55,8/23/1951,Sra. Jesusita Varo ,Jesús Samaniego,Fort Lupton CO,Mexicali BC,Transcribed and ready.,Envelope,YES,shan_l.027 to shan_l.028,Box,,Yes,shan_L055.meta.xml,Google Drive,Yes,,,,,
55,8/23/1951,Sra. Jesusita Varo ,Jesús Samaniego,Fort Lupton CO,Mexicali BC,Transcribed and ready.,Envelope,YES,shan_l.046 to shan_l.047,Box,,Yes,shan_L055.meta.xml,Google Drive,Yes,,,,,
56,3/21/1965?,Jesucita B. Torres,Jesús Samaniego,Fort Lupton CO,Mexicali BC,Transcribed and ready.,Envelope ,YES,"shan_l.048
to
shan_l.049",Box,,Yes,shan_L056.meta.xml,Google Drive,Yes,,,,,
57,7/19/1937,Mrs. Jesusita Baros,N/A,Denver CO,Albuquerque NM,Transcribed and ready.,Envelope only. ,NO,"shan_l.082
to
shan_l.083",Box,,Yes,shan_L057.meta.xml,Google Drive,Yes,,,,,
58,10/4/1937,Ms. Santos Baros,N/A,Denver CO,Albuquerque NM,Transcribed and ready.,Envelope only. ,NO,"shan_l.084
to
shan_l.085",Box,,Yes,shan_L058.meta.xml,Google Drive,Yes,,,,,
59,1/25/1938,Mrs. Santos Baros,N/A,Denver CO,Albuquerque NM,"Transcribed, edited & ready.
",Envelope only. ,NO,"shan_l.086
to
shan_l.087",Box,,Yes,shan_L059.meta.xml,Google Drive,Yes,,,,,
60,3/26/1939,Sr. Maxsimino Torrez,R. Hurtado,Longmont CO,Chicago IL,"Transcribed, edited & ready.
",Envelope only. ,YES,"shan_l.120
to
shan_l.121",Box,,Yes,shan_L060.meta.xml,Google Drive,Yes,,,,,
61,5/3/1939,Mrs. Jesusita Barros,Mrs. Baca,Longmont CO,Albuquerque NM,"Transcribed, edited & ready.
",Envelope only. ,NO,"shan_l.122
to
shan_l.123",Box,,Yes,shan_L061.meta.xml,Google Drive,Yes,,,,,
62,5/26/1939,Mrs. Jesusita Baros,Ben Silva,Longmont CO,"Brentwood, CA","Transcribed, edited & ready.
",Envelope only. In care of Bill Kennedy.,NO,"shan_l.029
to
shan_l.030",Box,,Yes,shan_L062.meta.xml,Google Drive,Yes,,,,,
63,7/13/1939,Sra. Jesusita Baros ,Demetrio Flemate,Longmont CO,"Brentwood, CA","Transcribed, edited & ready.
",Envelope only. ,NO,"shan_l.124
to
shan_l.125",Box,,Yes,shan_L063.meta.xml,Google Drive,Yes,,,,,
64,9/29/1939,Mrs. Jesusita Baros,N/A,Longmont CO,Albuquerque NM,"Transcribed, edited & ready.
",Envelope only. ,NO,"shan_l.130
to
shan_l.131",Box,,Yes,shan_L064.meta.xml,Google Drive,Yes,,,,,
65,8/12/1939,Mr. Demetrio Flemate,Jesusita Baros,Stockton CA,Longmont CO,"Transcribed, edited & ready.
",Envelope only. ,NO,"shan_l.132
to
shan_l.133",Box,,Yes,shan_L065.meta.xml,Google Drive,Yes,,,,,
66,N/A,N/A,Nemecio F Samaniego ,N/A,Juchipila ZAC,Transcribed & translated,"Fragment. Typewritten in red ink, signed in green ink. letter",YES,"shan_l.152
to
shan_l.153",Box,,Yes,shan_L066.meta.xml,Google Drive,Yes,,,,,
67,2/19/1940,Mrs. Jesusita Baros,Mrs. A. Marín,Fort Lupton CO,"Longmont, CO","Transcribed, edited & ready.
",Envelope only. ,NO,"shan_l.158
to
shan_l.159",Box,,Yes,shan_L067.meta.xml,Google Drive,Yes,,,,,
68,12/24/1940,Mrs. Jesusita Baros,Demetrio Flemate,Fort Lupton CO,"Thornton, CA","Transcribed, edited & ready.
",Envelope only. ,NO,"shan_l.160
to
shan_l.161",Box,,Yes,shan_L068.meta.xml,Google Drive,Yes,,,,,
69,11/25/1943,Mrs. Jesusita Baros,Jesse Baros,Denver CO,"San Diego, CA","Transcribed, edited & ready.
",Envelope only. ,NO,"shan_l.162
to
shan_l.163",Box,,Yes,shan_L069.meta.xml,Google Drive,Yes,,,,,
70,2/4/1976,Sr. Ricardo Núñez,Ascención Beltrán,Fort Lupton CO,"Cuernavaca, MOR","Transcribed, edited & ready.
",Envelope only. ,YES,"shan_l.172
to
shan_l.173",Box,,Yes,shan_L070.meta.xml,Google Drive,Yes,,,,,
71,9/26/1961?,Sra. Ma. de Jesús Varos,Nemecio Samaniego,Fort Lupton CO,Juchipila ZAC,"Transcribed, edited & ready.
",Envelope only. ,YES,"shan_l.174
to
shan_l.175",Box,,Yes,shan_L071.meta.xml,Google Drive,Yes,,,,,
72,8/1/1942,Santos,Josephine Montoya,N/A,"Socorro, NM",Transcribed & translated,Letter,YES,"shan_l.212
to
shan_l.213",Box,,Yes,shan_L072.meta.xml,Google Drive,Yes,,,,,
73,1/6/1958,Mr. & Mrs. W. F. Schubert,Mrs. C. E. Parrish,Lincoln NE,"Bradshaw, NE",Transcribed & translated,Env. and Letter,NO,"shan_l.214
to
shan_l.217",Box,,Yes,shan_L073.meta.xml,Google Drive,Yes,,,,,
74,1/30/1958,"Mr. & Mrs. Wm. Schubert, family",Mrs. Lillian Willhelm,Lincoln NE,"Phoenix, AZ",Transcribed & translated,Env. and Letter,NO,"shan_l.218
to
shan_l.227",Box,,Yes,shan_L074.meta.xml,Google Drive,Yes,,,,,
75,1/5/1953,Mrs. Sandra B. Schubert,J Baros ( Jesusita ) ,Lincoln NE,Fort Lupton CO,Transcribed & translated,Env. and Letter,YES,"shan_l.228
to
shan_l.233",Box,,Yes,shan_L075.meta.xml,Google Drive,Yes,,,,,
76,8/22/1956,"""Querida hija"" (Santos)",Jesusita B Torres,N/A,Fort Lupton CO,Transcribed & translated,letter only,YES,"shan_l.234
to
shan_l.235",Box,,Yes,shan_L076.meta.xml,Google Drive,Yes,,,,,
77,N/A,"""Querida hija"" (Santos)",Jesusita B Torres,N/A,Fort Lupton CO,Transcribed & translated,letter only,YES,"shan_l.236
to
shan_l.239",Box,,Yes,shan_L077.meta.xml,Google Drive,Yes,,,,,
78,2/4/1957,"""Querida hija"" (Santos)","""Tu mamá Jesusita B Torres""",N/A,Fort Lupton CO,Transcribed & translated,letter only,YES,"shan_l.240
to
shan_l.243",Box,,Yes,shan_L078.meta.xml,Google Drive,Yes,,,,,
79,3/6/1957,"""Querida hija"" (Santos)",Jesusita Baros Torres,N/A,Fort Lupton CO,Transcribed & translated,letter only,YES,"shan_l.248
to
shan_l.251",Box,,Yes,shan_L079.meta.xml,Google Drive,Yes,,,,,
80,4/23/1957,"""Querida hija"" (Santos)",Jesusita Baros,N/A,Fort Lupton CO,Transcribed & translated,letter only,YES,"shan_l.252
to
shan_l.255",Box,,Yes,shan_L080.meta.xml,Google Drive,Yes,,,,,
81,5/17/1957,"""Querida hija"" (Santos)",Jesusita Bars Torres,N/A,Fort Lupton CO,Transcribed & translated,letter only,YES,"shan_l.256
to
shan_l.259",Box,,Yes,shan_L081.meta.xml,Google Drive,Yes,,,,,
82,6/24/1957,Mrs. Sandra B. Schubert,,Lincoln NE,Fort Lupton CO,Transcribed & translated,Env. and Letter,YES,"shan_l.260
to
shan_l.265",Box,,Yes,shan_L082.meta.xml,Google Drive,Yes,,,,,
83,9/13/1957,Sandra B Schubert,Jesusita Baros Torres,Lincoln NE,Fort Lupton CO,Transcribed & translated,Env. and Letter,YES,"shan_l.266
to
shan_l.271",Box,,Yes,shan_L083.meta.xml,Google Drive,Yes,,,,,
84,10/26/1957,Sandra B Schubert,Jesusita B Torres,Lincoln NE,Fort Lupton CO,Transcribed & translated,Env. and Letter,YES,"shan_l.272
to
shan_l.277",Box,,Yes,shan_L084.meta.xml,Google Drive,Yes,,,,,
85,11/6/1957,Mr. & Mrs. William B Schubert,Mrs. Eddi Unkel,Lincoln NE,Denver CO,Transcribed & translated,Env. and Letter,NO,"shan_l.278
to
shan_l.287",Box,,Yes,shan_L085.meta.xml,Google Drive,Yes,,,,,
86,11/11/1957,Mrs. Sandra B Schubert,Jesusita B Torres,Lincoln NE,Fort Lupton CO,Transcribed & translated,Env. and Letter,YES,"shan_l.288
to
shan_l.293",Box,,Yes,shan_L086.meta.xml,Google Drive,Yes,,,,,
87,11/18/1957,Mrs. Sandra B Schubert,Jesusita B Torres,Lincoln NE,Fort Lupton CO,Transcribed & translated,Env. and Letter,YES ,"shan_l.294
to
shan_l.299",Box,,Yes,shan_L087.meta.xml,Google Drive,Yes,,,,,
88,5/9/1958,Mrs. W.F. Schubert,Jesusita B Torres,Lincoln NE,Fort Lupton CO,Transcribed & translated,Env. and Letter,YES,"shan_l.300
to
shan_l.303",Box,,Yes,shan_L088.meta.xml,Google Drive,Yes,,,,,
89,7/5/1958,Mrs. Sandra B Schubert,Jesusita B Torres,Lincoln NE,Fort Lupton CO,Transcribed & translated,Env. and Letter,YES,"shan_l.304
to
shan_l.309",Box,,Yes,shan_L089.meta.xml,Google Drive,Yes,,,,,
90,8/20/1958,"""Querida hija"" (Santos)",Jesusita B Torres,Lincoln NE,Fort Lupton CO,Transcribed & translated,letter only,YES,"shan_l.310
to
shan_l.311",Box,,Yes,shan_L090.meta.xml,Google Drive,Yes,,,,,
91,8/28/1958,"""Querida hija"" (Santos)",Jesusita B Torres,Lincoln NE,Fort Lupton CO,Transcribed & translated,letter only,YES,"shan_l.312
to
shan_l.313",Box,,Yes,shan_L091.meta.xml,Google Drive,Yes,,,,,
92,10/14/1958,"""Querida hija"" (Santos)","""Tu mama Jesusita B Torres""",Lincoln NE,Fort Lupton CO,Transcribed & translated,letter only,YES,"shan_l.314
to
shan_l.315",Box,,Yes,shan_L092.meta.xml,Google Drive,Yes,,,,,
93,10/29/1958,Mrs. W.F. Schubert,Mrs. Jesusita B. Torres,Lincoln NE,Fort Lupton CO,"Transcribed, edited & ready.
",Envelope and lock of hair,NO,shan_l.316 to shan_l.317,Box,,Yes,shan_L093.meta.xml,Google Drive,Yes,,,,,
93,10/29/1958,Mrs. W.F. Schubert,Mrs. Jesusita B. Torres,Lincoln NE,Fort Lupton CO,"Transcribed, edited & ready.
",Envelope and lock of hair,NO,"
shan_l.045",Box,,Yes,shan_L093.meta.xml,Google Drive,Yes,,,,,
94,11/13/1958,Mrs. W.F. Schubert,Jesusita B Torres,Lincoln NE,Fort Lupton CO,Transcribed & translated,Env. and Letter,YES,"shan_l.318
to
shan_l.325",Box,,Yes,shan_L094.meta.xml,Google Drive,Yes,,,,,
95,12/9/1958,"""Querida hija"" (Santos)",Jesusita B Torres,N/A,Fort Lupton CO,Transcribed & translated,letter,YES,"shan_l.326
to
shan_l.329",Box,,Yes,shan_L095.meta.xml,Google Drive,Yes,,,,,
96,2/2/1959,Mrs. W.F. Schubert,Jesusita B Torres,Lincoln NE,Fort Lupton CO,Transcribed & translated,Env. and Letter,YES,"shan_l.330
to
shan_l.335",Box,,Yes,shan_L096.meta.xml,Google Drive,Yes,,,,,
97,3/14/1959,Mrs. W.F. Schubert,Jesusita B Torres,Lincoln NE,Fort Lupton CO,Transcribed & translated,Env. and Letter,YES,"shan_l.336
to
shan_l.341",Box,,Yes,shan_L097.meta.xml,Google Drive,Yes,,,,,
98,5/7/1959,Mrs. W.F. Schubert,Jesusita B Torres,Lincoln NE,Fort Lupton CO,Transcribed & translated,Env. and Letter,YES,"shan_l.342
to
shan_l.347",Box,,Yes,shan_L098.meta.xml,Google Drive,Yes,,,,,
99,6/4/1959,Mrs. W.F. Schubert,N/A,Lincoln NE,Fort Lupton CO,"Transcribed, edited & ready.
",Envelope ,NO,"shan_l.348
to
shan_l.349",Box,,Yes,shan_L098.meta.xml,Google Drive,Yes,,,,,
100,6/30/1959,Mrs. W.F. Schubert,Jesusita B Torres,Lincoln NE,Fort Lupton CO,Transcribed & translated,Env. and Letter,YES,"shan_l.350
to
shan_l.355",Box,,Yes,shan_L100.meta.xml,Google Drive,Yes,,,,,
101,7/31/1959,Mrs. W.F. Schubert,Jesusita B Torres,Lincoln NE,Fort Lupton CO,Transcribed & translated,letter,YES,"shan_l.356
to
shan_l.361",Box,,Yes,shan_L101.meta.xml,Google Drive,Yes,,,,,
102,8/31/1959,"Querida Hija ""Santos",Jesusita B Torres,N/A,Fort Lupton CO,Transcribed & translated,Env. and Letter,YES,"shan_l.362
to
shan_l.363",Box,,Yes,shan_L102.meta.xml,Google Drive,Yes,,,,,
103,10/9/1959,Mrs. W.F. Schubert,Jesusita B Torres,Lincoln NE,Fort Lupton CO,Transcribed & translated,Env. and Letter,YES,"shan_l.364
to
shan_l.369",Box,,Yes,shan_L103.meta.xml,Google Drive,Yes,,,,,
104,1/26/1960,"Querida Hija ""Santos",Jesusita B Torres,N/A,Fort Lupton CO,Transcribed & translated, letter,YES,"shan_l.370
to
shan_l.371",Box,,Yes,shan_L104.meta.xml,Google Drive,Yes,,,,,
105,5/28/1960,Mrs. W.F Schubert,Jesusita B torres,lincoln NE,Fort Lupton CO,Transcribed & translated,Env. and Letter,YES,"shan_l.372
to
shan_l.377",Box,,Yes,shan_L105.meta.xml,Google Drive,Yes,,,,,
106,7/17/1961,Mrs. W.F Schubert,Jesusita B Torres,lincoln NE,Fort Lupton CO,Transcribed & translated,Env. and Letter,YES,"shan_l.378
to
shan_l.385",Box,,Yes,shan_L106.meta.xml,Google Drive,Yes,,,,,
107,7/26/1962,Mrs. W.F Schubert,Jesusita B Torres,lincoln NE,Fort Lupton CO,Transcribed & translated,Env. and Letter,YES,"shan_l.386
to
shan_l.393",Box,,Yes,shan_L107.meta.xml,Google Drive,Yes,,,,,
